,0
564,"Великолепная женщина, поздравляю Вас с днем рождения! Желаю Вам чувствовать всегда себя прекрасно, желаю не расстраиваться по пустякам, желаю постоянно думать о хорошем, и пусть это хорошее непременно случается с Вами каждый день!"
565,"С днем рождения! Желаю любить и всегда быть любимым, получать удовольствие от каждого прожитого дня и иметь то самое место, куда хочется возвращаться. Пусть свечи на праздничном торте зажигаются еще много-много лет, а загаданные желания мгновенно исполняются!"
566,"Мне хочется в день рождения пожелать тебе яркой жизни, восхитительных эмоций, больше причин для радости и прекрасного настроения. Будь любимым и любящим, мужественным и успешным, добрым и богатым, смелым и счастливым, здоровым и справедливым. Удачи тебе в делах, везения, процветания и женского внимания! А также бурных эмоций и восхищения поклонниц."
567,"В этот радостный день позволь поздравить тебя с днем рождения! Пусть твои глаза всегда светятся от счастья, а сердце будет наполнено любовью и теплотой. Желаю, чтобы твои муж и дети ценили и оберегали тебя, чтоб в твоем доме царили мир и покой, а беды и несчастья никогда не постучались в твою дверь. Пусть всегда твои желания исполняются, лишь только ты подумаешь о них!"
568,"Желаем тебе настоящего женского счастья, уюта и тепла в твоем доме, родных и близких людей рядом. Пусть твои красота и молодость с каждым годом лишь набирают силы, мудрость не знает пределов, а радость не покидает тебя ни на секунду. Оставайся такой же милой, понимающей и доброй!"
569,"Дружище! С днюхой тебя, желаю тебе всего самого хорошего в этой жизни: здоровья, счастья, удачи в делах, бодрости и сил. Пусть обстоятельства всегда складываются таким образом, что дела твои будут идти только в гору! Пусть в жизни будет как можно больше поводов для радости и веселья! Поздравляю!"
570,"Поздравляю с днём варенья! Желаю всего и много, и только хорошего! Улыбайся, радуйся и живи на полную!"
571,"С днем рождения! Желаю тебе иметь лимон, так как он очень полезен для здоровья и поддержки иммунитета. Особенно, когда это лимон долларов. Удачи и везения во всех начинаниях!"
572,"Очаровательную женщину я поздравляю с днем рождения. Пусть будет прекрасным мир вокруг Вас, пусть будет светлым и радостным каждый день, пусть в жизни не будет уныния и печали, пусть в холодную погоду согревает тепло родных и дорогих сердец."
573,"Поздравляю с замечательной датой — днем твоего рождения! Пусть жизнь будет сказочной, интересной, веселой и увлекательной. Пускай люди, которые идут рядом, разделяют твои интересы, заряжают позитивом, поддерживают тебя во всем. Улыбок, счастья, прекрасного настроения и реализации планов!"
574,"Поздравляю с днем рождения! Желаю достижения всех твоих целей и даже больше, никогда не стой на месте и иди только вперед. Все мечты обязательно сбудутся, желаю нескончаемого вдохновения и упорства. Пусть тебя окружают только достойные люди, которые всегда будут опорой и поддержкой. Развивай свой талант и потенциал, несмотря ни на что, у тебя все получится!"
575,"Желаю оставаться всегда таким же сильным, мужественным и уверенным в себе. Друзей надежных и верных, которые всегда поймут и поддержат, любви сильной и искренней, так, чтоб до старости, и работы такой, чтобы радовала, вдохновляла и приносила хороший доход. А также здоровья крепкого, чтоб еще долгие годы оставаться богатырем. С днем рождения!"
576,"С днем рождения тебя, моя милая подружка! Пусть этот день будет радостным и волшебным! Желаю, чтобы здоровье никогда не подводило, было крепким, друзья — верными, любовь — большой и светлой. И пусть каждый твой день будет наполнен прекрасными моментами, а ты — самой счастливой! Пусть у тебя все получается, желания исполняются и цели достигаются."
577,"Дорогая моя мамочка! В этот день я хочу сказать тебе то, что не говорил(а) никогда. Да и не мог(ла) сказать, потому что раньше я этого не понимал(а). В детстве мы все безмерно любим свою маму и привязаны к ней. И кажется, что сильней любви к маме быть не может. И, наверное, ты иногда грустишь по той моей детской привязанности. Но ты, пожалуйста, знай — с каждым днем я люблю тебя все сильнее, даже если не бываю с тобой столько, как тебе хотелось бы. Но теперь я люблю тебя не той милой детской любовью, а любовью осознанной. Ведь с каждым прожитым днем я получаю свой жизненный опыт. А значит, с каждым днем я все яснее понимаю, сколько сил, добра и заботы ты вложила в меня. Как тебе порой было нелегко в твоей взрослой жизни, но ты не показывала виду, и я всегда чувствовал(а) только исходящие от тебя свет и любовь. Будь, пожалуйста, здорова, моя мама! Ты очень нужна мне."
578,"Любимый, пускай в твоей жизни все складывается замечательно! Я знаю, что ты лучший, поэтому я уверена, что ты сможешь достичь всего, чего пожелаешь! Пускай удача и успех будут твоими верными спутниками! Ищи счастье в маленьких и больших радостях и оставайся таким же добрым и искренним человеком, любящим мужем и заботливым отцом! Я счастлива, что ты у меня есть!"
579,"Пусть только позитив, смех сопровождают по жизни, а плохое настроение и грусть не появляются. Богатырского здоровья, душевного спокойствия, приятных сюрпризов, искренних друзей, домашнего уюта и незабываемых сновидений. Пусть жизнь дарит все самое идеальное, каждый раз удивляя чем-то новым, удивительным!"
580,"Поздравляю с днем рождения настоящего мужчину! Пусть все преграды преодолеваются с легкостью. Энтузиазма тебе, сил и возможностей в достижении поставленных целей, любви, достатка, семейного уюта, приятных эмоций и хорошего настроения!"
581,"Я хочу поздравить тебя с днем рождения! Пожелать простого человеческого счастья и неземной любви. Пусть на тебя всегда неожиданно нападают деньги, и не вздумай отбиваться. Пусть твои желания плачут от твоих возможностей, и не кидайся их успокаивать. Пусть твои цели сами тебя догоняют, а мечты обалдевают от твоих фантазий. Я желаю тебе испытать невероятные подъемы и такие успехи, от которых дух захватит."
582,"Поздравляю с днем рождения! Желаю женского счастья и мудрости, красоты, грации и свежести. Пусть тебя всегда окружают неугасающий свет, уважение, нежность и тепло. Неубывающей любви, искрящейся жизненной энергии, достижения целей, и пусть всегда будет желание мечтать, а мечты твои все сбываются!"
583,"В этот прекрасный день хочу поздравить тебя с днем рождения. Пожелать тебе просто всего наилучшего было бы банально с моей стороны. Я желаю тебе оставаться всегда такой жизнерадостной и яркой, чтобы в глазах всегда пылала та страсть к жизни, которая украшает своим светом жизнь окружающих тебя людей. Чтобы слезы были только от счастья, а сердце выпрыгивало от радости, а не от тревог. Чаще смейся, ведь нет ничего прекрасней, чем слышать твой смех. Долгих тебе лет, но чтобы они не были тебе в тягость, а также здоровья крепкого и, конечно же, удачи, ведь без нее в наше сложное время никак. Еще раз с днем рождения, удачно его отметь сегодня."
584,"Дорогая, поздравляю тебя в этот прелестный день — день твоего рождения! Поздравлять таких хороших людей, как ты, — это радость. От всей души прими мои искренние поздравления! Желаю тебе светлой любви, достижения своих целей, бодрости, сил, улыбок, хорошего достатка в семье, терпения, успеха, незабываемых ощущений, захватывающих путешествий, нежности и бесконечного здоровья! Желаю, чтобы в твоем доме царило спокойствие, не было бурь и ненастий, чтобы дети дарили тепло, а у тебя в глазах горел огонек страсти!"
585,"В твой день рождения хочу пожелать тебе быть сильным, здоровым, энергичным, никогда не огорчаться и не унывать. Пусть тебя окружают добрые друзья, рядом всегда будет любимая женщина. Желаю хорошего настроения, радости, успехов и благополучия!"
586,"В этот замечательный день позволь мне поздравить тебя от всей души. Желаю тебе успешных проектов, финансового благополучия, спокойной тихой домашней гавани. Пусть каждый твой день будет удачным, здоровье — крепким, как скала, а мысли — светлыми и беззаботными. Пусть твои близкие радуют тебя и ощущают твою бесконечную заботу. Счастья тебе и света!"
587,"В такой чудесный день, хочется поздравить лучшего друга, сына и просто прекрасного человека с днем рождения! Хочется пожелать, чтобы сбылось все то, что тебе сегодня пожелают и добавить немного от себя. Самое главное, это, конечно, здоровье, ведь как говорят «будет здоровье — будет все». Так же, незабываемых и ярких путешествий, побольше штампов в загранпаспорте и веселых фоток у костра с друзьями. Еще нужно чуть-чуть успеха, чтобы всегда был в нужном месте, в нужное время. Чтобы любовь согревала — дари любовь сам и тогда все самое лучшее притянется к тебе."
588,"Дорогая моя подружка, с днем рождения! Желаю тебе всего-всего хорошего. Пусть твоя душа всегда будет наполнена радостью и счастьем, пусть близкие люди дарят тебе своё тепло. Хочу, чтобы ты оставалась всё такой же жизнерадостной, оптимистичной и интересной девушкой. Пусть в этот день сбываются все твои мечты."
589,"Любимая подруга, как здорово, что ты у меня есть! Спасибо тебе за годы нашей дружбы! Я желаю тебе жить так, чтобы каждый твой день был наполнен любовью, радостью и добром! Пускай все твои цели легко сбываются, ведь ты этого достойна! А еще я хочу пожелать тебе всегда быть такой красавицей и очаровашкой!"
590,"Поздравляю с днем рождения и от души желаю процветать, любить, радоваться жизни и всегда иметь возможность воплощать свои мечты."
591,"Поздравляю с днем рождения! Желаю в жизни преуспевать и во всем находить хорошее, никогда не жаловаться на здоровье! Пусть каждый прожитый миг будет достойным, полным сил и уверенности, мужества, благополучия и настоящей любви!"
592,"Поздравляю с днем рождения! Желаю успешного продвижения вверх по карьерной лестнице, хорошего заработка, гармонии с самим собой и больше ярких красок в обычной серой реальности. Пусть все цели будут достигнуты, а преграды разрушены от уверенности в своих поступках."
593,"Искренне поздравляю Вас с днем рождения! Желаю Вам всегда оставаться таким жизнерадостным человеком, достигать поставленных целей и жить в достатке, добре и мире! Пусть работа приносит Вам удовольствие, семейное счастье дарит гармонию в душе, а любовь согревает сердце!"
594,"Мой муж, моя опора, моя стена, моя жизнь. Я хочу поздравить тебя с днем рождения! Хочется в этот день пожелать тебе, чтобы все твои мечты исполнялись, чтобы твой день начинался с улыбки, чтобы твои родные и близкие были всегда рядом и поддерживали тебя. Оставайся всегда таким же уникальным, добрым, нежным, отзывчивым, заботливым, веселым, радостным и счастливым. Я могу продолжать этот список бесконечно. Спасибо, что ты есть на этом свете! С днем рождения!"
595,"Поздравляю с днем рождения! Пусть мир повернется к тебе самой лучшей стороной, пусть все планы удаются, а мечты сбываются, желаю, чтобы рядом были интересные и верные друзья, пусть жизнь будет полна событий и приключений, но только добрых и хороших. Любви, радости, счастья! Еще раз с праздником!"
596,"С днем рождения, подруга! Желаю тебе всегда быть бойкой, смелой, решительной, уверенной, целеустремленной, настойчивой, обворожительной, мечтательной и просто удивительной. Пусть тебя всегда окружает удача, любовь, достаток и счастье, пусть никогда тебе не приходится грустить, а приходиться только радоваться, улыбаться и наблюдать за тем, как сбываются заветные мечты."
597,"Дорогой мой, я поздравляю тебя с днем рождения. Ты — сильный, талантливый, смелый, ответственный, решительный, открытый, добрый и хороший человек. И я желаю тебе таким оставаться всегда! Пусть этот год жизни прибавит уверенности и сил, пусть у тебя появится больше возможностей проявлять свои способности и добиваться успехов. Я желаю тебе, дорогой брат, здоровья и стойкости, уважения и любви, удачи и упорства! Пусть твои мечты начнут исполняться уже сегодня!"
598,"Расцветай с каждым днем, словно яркий цветочек! Желаю тебе всегда быть счастливой, успешной и жизнерадостной девушкой! Пускай все мечты и цели сбудутся без каких-либо преград! Желаю, чтобы каждое мгновение твоей жизни было наполнено любовью, удачей и добром!"
599,"С Днем твоего рождения, любимая и родная моя сестра! Желаю тебе красивой жизни, как в сказке, и чтоб эта сказка никогда не кончалась. Пусть все, задуманное тобой, обязательно исполнится, мечты сбываются, а красота остается на долгие, долгие годы. Будь по-настоящему счастлива и никогда не унывай. Пусть удача, везение и успех всегда преследуют тебя, и тебе за это ничего не будет. Как хорошо, что ты есть у меня, милая моя, хорошая сестра, будь по-настоящему счастлива!"
600,"Пускай в жизни только добро случается. Пускай сила и здоровье никогда не покидают. Желаем успеха в делах, достижений в труде, большой, стабильной зарплаты и спокойных трудовых будней. Желаем счастливых и радостных дней, наполненных светом и любовью близких. С днем рождения!"
601,"Потрясающую женщину поздравляем с днем рождения! Желаем вдохновения, легкости, красивую мечту и массу вариантов для ее исполнения. Будь красивой, здоровой, притягательной и очаровательной. Любви, море позитива и огромного женского счастья!"
602,"Желаем в этот день исполнения всего задуманного, радостных встреч и неожиданных приятных сюрпризов. Пусть навсегда сохранятся в тебе все качества настоящего мужчины, такие как сила, уверенность, верность слову, мужество и обаяние. Пусть будет крепким здоровье, а жизнь подарит много светлых дней."
603,"Поздравляю с днём рождения! Желаю крепости духа, богатой доли, счастливой судьбы, позитивного настроя и легкой прибыли. Пусть все твои гениальные идеи воплощаются в жизнь. Здоровья тебе самого крепкого, плодотворного труда и всегда отличного отдыха!"
604,"Дружище, поздравляю тебя с днем рождения! Пусть задуманное сбывается, хорошее умножается, плохое уходит, а счастье делится на всю твою семью. Желаю не останавливаться на достигнутом, идти вперед при любых обстоятельствах, покорять вершины и новые горизонты, любить жизнь и быть ее хозяином!"
605,"С днем рождения, замечательная и прекрасная женщина! Пусть в жизни все мечты осуществляются, пусть не покидает никогда чудесное и радостное настроение, пусть будет счастливым и по-настоящему веселым каждое мгновение."
606,"Поздравляю с днем рождения! Желаю крепких сил, великих достижений и хороших доходов, чтобы ты никогда ни в чём не нуждался. Пусть от всех ненастий тебя оберегают стальная выдержка и доброта. Пусть любовь будет рядом, верность и дружба — всегда за спиной, в руках — только счастливые грезы, а перед глазами — благодать и отменное счастливое будущее."
607,"С праздником, с днем рождения! Желаю неиссякаемого запаса здоровья, вечно беременного кошелька и патологически взаимной любви. Хочу, чтоб каждый твой день сопровождался радостными событиями и улыбкой на лице. Пусть любые невзгоды и всякие «каки» обходят тебя стороной, горячие напитки под разговоры с друзьями греют душу, а твои лучшие качества помогают тебе в достижении жизненных целей. В общем, отмечай, веселись, празднуй, не болей, будь счастлива и бери от жизни только позитив!"
608,"С днем рождения! Желаю ощущения счастья и свободы, отменного чувства юмора и оптимистичного настроения. Будь сильным мужчиной, который твердо знает, чего хочет и с полной уверенностью всегда добивается своих целей. Будь любим, уважаем, обожаем и успешен!"
609,"Желаю тебе в день рождения кучу всего. И пусть в этой куче будет, богатство, счастье, удача, добро. Еще желаю тебе лопату, чтобы грести в эту кучу постоянно все больше и больше житейских благ и полезных приобретений. И друзей тебе верных побольше, чтобы поддерживали тебя в трудных жизненных ситуациях и в шумных веселых застольях."
610,"Пусть удача преследует тебя, улыбаясь, успех гонится по пятам, везение всегда набивается в попутчики. Пусть здоровье радует, красота не увядает, семья поддерживает, друзья не дают заскучать. И всё это не только сегодня, в день твоего рождения, но ежедневно. Поздравляю!"
611,"Поздравляю тебя, дорогая, с этим замечательным светлым праздником — днем твоего рождения! Пусть твою жизнь всегда освещает та самая заветная звезда. Пусть люди, встречающиеся на твоем пути, несут добро, любовь и хорошее настроение. Будь всегда такой же оптимисткой, красавицей и просто хорошим человеком."
612,"Поздравляем с днем рождения! Желаем вечной весны в душе, пения птиц, яркого солнца, женского счастья, цветов и улыбок. Пусть в вашем доме всегда царит мир, любовь, теплота, радость, благополучие и добро. Будьте всегда такой же милой, прекрасной женщиной; таким же добрым, честным и искренним человеком."
613,"С днем рожденья! Сложно придумать достойное поздравление для такой великолепной, самодостаточной женщины, как Вы, но я рискну. Желаю вам лучиться от счастья, сиять здоровьем, пить нектар любви, получать сполна все блага, которые способен подарить этот мир, наслаждаться исполнением желаний, радоваться каждому дню, очаровывать своей красотой, достигать невозможного, жить, творить, любить и побеждать! Всегда!"
614,"Поздравляю с днем рождения! Счастья, здоровья, удачи, любви, достатка наверняка уже тебе желали. Я лишь присоединюсь. А от себя еще пожелаю любви — взаимной, счастья — головокружительного, успехов — стремительных, побед — значимых, мечтаний и желаний — осуществимых, людей рядом — надежных, целей — достижимых, а преград — преодолимых! Пусть твой мужчина тебя балует и выполняет все твои капризы. И пусть всё будет так, как ты захочешь. И даже чуточку лучше!"
615,"С днем рождения, поздравляю и желаю всего самого-самого лучшего, замечательного и прекрасного в жизни!"
616,"Дорогая моя, поздравляю с днем рождения. Желаю тебе счастья и любви. Пусть жизнь будет яркой и интересной, пусть осуществятся все твои мечты и исполняются желания, а друзья останутся верными и преданными!"
617,"С днем рождения! Крепкого здоровья тебе, успехов, оставайся всегда на волне позитиве. Пусть каждый новый день приносит интересные эмоции, чудесных моментов, исполнения мечт! Достатка, независимости и мирного неба!"
618,"Милая, прекрасная, с днем рождения! Пусть тебе сопутствуют удача, любовь, замечательное настроение. С каждым днем становись все более счастливой. Будь всегда такой же открытой, весёлой и необыкновенной. С лёгкость добивайся всех поставленных целей. Люби, мечтай и радуйся жизни."
619,"Поздравляю тебя с днем рождения, дорогая. Желаю тебе побольше здоровья, нескончаемого счастья и всего наилучшего. Хочу, чтобы сегодня чувство радости ни на минуту не покидало тебя. Пусть твоему жизненному пути всегда сопутствовала удача, любовь окружающих и забота близких людей. От всего сердца желаю тебе успехов!"
620,"Поздравляю тебя с днем рождения, хочу пожелать тебе счастья, веселых встреч, крепкого здоровья. Пусть удача сопутствует тебе и все складывается в твою пользу."
621,"Дорогая моя подруга, поздравляю тебя с днем рождения! Желаю, чтоб все твои желания обязательно исполнялись, а в жизни было много поводов для веселья и радости. Пусть каждый день будет счастливым и особенным, в душе царит гармония, а в сердце господствует любовь!"
622,"С днем рождения! Здоровья богатырского тебе и твоим близким. Сил и мудрости для принятия верных решений. Бодрости тела и духа. Пусть новые уникальные идеи посещают тебя каждый день! Дети радуют успехами, жена — красотой и ласкою. Иди по жизни с улыбкой, а на дураков не обижайся."
623,"С днем рождения! Желаю просыпаться с радостью в сердце, пусть каждый день приносит только счастливые новости. Пусть энергия плещет через край, а жажда нового помогает делать открытия. Желаю делать любое дело с удовольствием, доводить до конца и не бояться трудностей. Радости, счастья, удачи!"
624,"От всей души поздравляю тебя с днем рождения! Пусть твой личный праздник принесет удачу, счастье и здоровье! Желаю, чтобы тебя окружали только достойные люди, все цели достигались и финансы росли!"
625,"С днем рожденья! Желаю мужества и оптимизма, здоровья и уверенности, упорства и решительности, храбрости и благородства, стойкости и выдержки, удачи и поддержки близких, любви и страсти, дружбы и уважения, успехов и процветания, богатства и верного мужского счастья."
626,"Поздравляю тебя с днем рождения, милая красавица! Пускай твоя очаровательная улыбка почаще сияет ярким солнышком! Желаю тебе исполнения заветных желаний и множество положительных эмоций! Пусть удача будет твоей верной подругой, чтобы каждый денек приносил только отличное настроение и новые успехи! Живи счастливо, ярко и интересно, ведь эта жизнь удивительно прекрасна!"
627,"Поздравляем прекрасную, очаровательную, добрую и нежную женщину. Пускай в Ваш дом постучится счастье. Пускай все в Вашей жизни будет наполнено благополучием, теплом и любовью. Желаем гармонии и мира. Бесконечной удачи и позитива душе. С днем рождения!"
628,"Дорогая подруга! Искренне и от всей души поздравляю тебя с днем рождения. Желаю, чтобы всегда на небе твоей сияло солнце. Пусть все будет так, как ты сама желаешь. Пусть все твои мечты исполнятся. Желаю, чтобы тебя окружили только хорошие люди. Расцветай, как самый красивый цветок. Будь счастлива и здорова. С твоим днем."
629,"Мой самый любимый, дорогой, желанный и родной, с днем рождения! Ты — моя жизнь, моя любовь, мой свет и мой воздух. Желаю тебе быть здоровым, успешным, радостным и счастливым. Пускай с каждым годом наша любовь становится более крепкой, терпимой, нежной и надежной. Пусть наше гнездышко будет теплым местом, куда бы ты хотел возвращаться, где бы восстанавливал силы и вдохновлялся на новые свершения. Люблю тебя безумно и хочу прожить с тобой всю жизнь!"
630,"Папочка, с днем рождения! Искренне желаю тебе крепкого здоровья, долгих лет жизни, ярких дней, оптимизма. Пусть всегда будут рядом самые лучшие люди, удача и успех сопровождают все твои цели и мечты. Счастья тебе, люблю!"
631,"Дорогая моя, любимая подруга! Очень хочу поздравить тебя с днем твоего рождения. Не смотри на годы, смотри на себя, молодую и красивую. Как женщина — будь любима, как мать — будь счастлива, как друг — будь востребована, как человек — будь удачлива и успешна. Оставайся такой же надежной, верной и доброй!"
632,"С днем рождения! Желаю успеха в работе, спокойствия в доме, благополучия в делах. Будь всегда красивой, яркой, чтобы прохожие оборачивались при встрече с тобой и не могли отвести глаз от твоей красоты. Пусть твой дом будет наполнен светом и добротой. Счастья тебе, здоровья, долголетия и, конечно же, любви!"
633,"Я поздравляю тебя с твоим днем рождения! Смело иди вперед и никогда не сдавайся. Обходи преграды с легкостью и добивайся своего. Пусть теплота сердец близких людей всегда согревает тебя, а жизнь будет наполнена светом и яркими красками. Люби и будь любима!"
634,"Красавицу и умницу, прекрасную женщину поздравляем с днем рождения! Желаем, чтобы все твои надежды были оправданы, чтобы разнообразие прекрасных и удивительных моментов дарило тебе миллион новых и приятных ощущений. Будь здорова, мила, притягательна, любима, успешна и просто, по-человечески, счастлива!"
635,"Поздравляем прекрасную девушку, которая достойна самых лучших комплиментов, теплых слов и самых искренних пожеланий! Пускай твоя жизнь всегда будет наполнена самыми прекрасными красками, ароматами и эмоциями. Желаем, чтобы каждый день, как порция любимого десерта, приносил только удовольствие и наслаждение. И пускай в твоей жизни всегда присутствует любовь, которая станет помощницей в любом деле. С днем рождения!"
636,"Сегодня замечательный день — это день Вашего рождения! Хочется пожелать Вам в первую очередь здоровья, ведь оно очень важно в нашей жизни. Также хочу пожелать счастья, улыбок, чтобы никакие трудности не могли помешать идти к намеченной цели. Пусть все желания и стремления достигаются просто и легко, а верные друзья всегда будут рядом. Хочу сказать, что для меня великая честь работать с Вами рука об руку. С днем рождения!"
637,"В этот день рождения я хочу пожелать тебе в жизни много позитива, счастливых случаев и всевозможных успехов! Будь силен и духом, и телом, чтобы всегда достигать своих целей! Желаю тебе настоящей любви, крепкой мужской дружбы и материального благополучия!"
638,"Настоящему симпатичному мужчине в день рождения желаю настоящих чувств и радостей жизни! Пусть каждый день будет наполнен вдохновением, производительным трудом, счастьем созидания и прекрасными чувствами — любви, привязанности, заботы и внимания! Пусть будут успешными трудовые будни, уютные вечера за чашечкой чая с родными и близкими людьми! Пусть не подводит здоровье и жизнь — такая хорошая и радостная ― растянется на долгие годы!"
639,"Поздравляю с твоей днюхой и хочу пожелать завтра не мучиться от жуткого похмелья, а сегодня — гульнуть по полной программе. Пусть живется тебе круто и весело. Пусть ответы на любые вопросы находятся легко и правильно, пусть решения тобой принимаются верные и рациональные. Пусть у тебя всегда водятся деньжата, а еще никогда не заканчиваются идеи по совершенствованию своей натуры и жизни в кайф."
640,"От всей души поздравляю с днем рождения! Желаю крепкого здоровья, стремительного карьерного роста, интересной работы, достойной заработной платы, ежедневного вдохновения, исполнения всех заветных желаний, огромных возможностей и простого женского счастья!"
